B01041,329,Note 1,0,Joshua 15.2,,Iose 15 2
B01041,329,Note 2,0,1 Corinthians 6,,1 Cor 6
B01041,329,Note 2,1,2 Corinthians 6,,2 Cor 6
B01041,331,Note 0,0,Romans 7,,Rom 7
B01041,331,Note 0,1,Acts 8,,Acto 8
B01041,332,Note 0,0,Malachi 1,,Malach 1
B01041,338,Note 0,0,Isaiah 14,,Isai 14
B01041,338,Note 1,0,Genesis 3,,Gene 3
B01041,345,Note 0,0,Ephesians 4,,Ephe 4
B01041,348,Note 0,0,Philippians 2,,Philip 2
B01041,353,Note 0,0,Titus 2,,Tit 2
B01041,354,Note 0,0,1 Peter 2,,1 Pet 2
B01041,354,Note 1,0,Ecclesiastes ^0,,Eccle ^0
B01041,359,Note 0,0,Matthew 11,,Math 11
B01041,366,Note 0,0,2 Timothy 2,,2 Timo 2
B01041,367,Note 0,0,2 Peter 1,,2 Pet 1
B01041,368,Note 0,0,2 Timothy 2,,2 Timo 2
B01041,369,Note 0,0,Psalms 93,,Psal 93
B01041,374,Note 0,0,Psalms 93,,Psal 93
B01041,381,Note 0,0,Ephesians 6,,Ephe 6
B01041,387,Note 0,0,Malachi 4,,Mala 4
B01041,400,Note 0,0,Acts 7,,Act 7
B01041,400,Note 0,1,Deuteronomy 18,,Deut 18
B01041,404,Note 0,0,1 Corinthians 1,,1 Cor 1
B01041,404,Note 0,1,Isaiah 29,,Isai 29
B01041,408,Note 0,0,Matthew 11,,Math 11
B01041,409,Note 0,0,Philippians 3,,Philip 3
B01041,409,Note 1,0,Matthew 3,,Math 3
B01041,409,Note 2,0,Matthew 24,,Math 24
B01041,410,Note 0,0,Psalms 33,,Psal 33
B01041,411,Note 0,0,Matthew 24,,Math 24
B01041,412,Note 0,0,Matthew 26,,Math 26
B01041,413,Note 0,0,Psalms 44,,Psal 44
B01041,418,Note 0,0,Psalms 28,,Psal 28
B01041,418,Note 1,0,John 7,,Iohn 7
B01041,418,Note 2,0,1 Timothy 2,,1 Timo 2
B01041,420,Note 0,0,2 Thessalonians 2,,2 Thes 2
B01041,423,Note 0,0,Isaiah ^,,Isai ^
B01041,427,Note 0,0,Psalms 129,,Psal 129
B01041,428,Note 0,0,Psalms 68,,Psal 68
B01041,434,Note 0,0,Romans 5,,Roma 5
B01041,436,Note 0,0,Revelation 1,,Apoc 1
B01041,438,Note 0,0,Matthew 3,,Math 3
B01041,440,Note 0,0,Luke 3,,Luc 3
B01041,441,Note 0,0,1 Corinthians 3,,1 Cor 3
B01041,441,Note 1,0,Psalms 118,,Psal 118
B01041,442,Note 0,0,Hebrews 13,,Hebre 13
B01041,447,Note 0,0,Psalms 18,,Psal 18
B01041,451,Note 0,0,Psalms 26,,Psal 26
B01041,454,Note 0,0,Psalms 24,,Psal 24
B01041,455,Note 0,0,Proverbs 6,,Prouer 6
B01041,457,Note 0,0,Titus 2,,Tite 2
B01041,457,Note 1,0,1 John 2,,1 Iohn 2
B01083,6,Note 0,0,Matthew 9,,Math 9
B01083,6,Note 0,1,Mark 2,,Marc 2
B01083,6,Note 0,2,Luke 9,,Luc 9
B01083,8,Note 0,0,Psalms 45,,Psal 45
B01083,9,Note 0,0,1 Corinthians ^,,1 Cor ^
B01083,11,Note 0,0,Matthew 24,,Math 24
B01083,11,Note 0,1,Matthew ^^,,Mat ^^
B01083,12,Note 0,0,Luke 10,,Luc 10
B01083,12,Note 0,1,John 14,,Ioan 14
B01083,12,Note 0,2,Mark 6,,Marc 6
B01083,12,Note 0,3,Matthew 10,,Math 10
B01083,13,Note 0,0,Isaiah 1,,Esa 1
B01083,15,Note 0,0,Romans 10,,Rom 10
B01083,15,Note 1,0,Ecclesiastes 32,,Eccl 32
B01083,15,Note 2,0,Mark 4,,Mar 4
B01083,17,Note 0,0,Matthew 13,,Math 13
B01083,17,Note 0,1,Isaiah 6,,Esa 6
B01083,17,Note 0,2,Mark 4,,Marc 4
B01083,17,Note 0,3,Acts 18,,Act 18
B01083,18,Note 0,0,Proverbs 18,,Pro 18
B01083,18,Note 1,0,Proverbs 23,,Pro 23
B01083,20,Note 0,0,Genesis 11; Genesis 17,,Gen 11 & 17
B01083,20,Note 0,1,Psalms 7,,Psal 7
B01083,20,Note 0,2,Revelation 2,,Apo 2
B01083,20,Note 1,0,Psalms 93,,Psal 93
B01083,23,Note 0,0,Isaiah 55,,Esa 55
B01083,25,Note 0,0,Corinthians 6,,Cor 6
B01083,29,Note 0,0,Romans 11,,Rom 11
B01083,29,Note 0,1,1 Corinthians 8,,1 Cor 8
B01083,29,Note 0,2,Ephesians 1,,Eph 1
B01083,29,Note 0,3,2 Corinthians 3,,2 Cor 3
B01083,29,Note 0,4,Revelation 17,,Apoc 17
B01083,36,Note 0,0,1 Corinthians 3,,1 Cor 3
B01083,43,Note 0,0,Romans 4,,Rom 4
B01083,43,Note 0,1,Romans 5,,Rom 5
B01083,43,Note 0,2,1 John 1,,1 Ioan 1
B01083,43,Note 0,3,1 Peter 1,,1 Pet 1
B01083,43,Note 0,4,2 Timothy 2,,2 Tim 2
B01083,43,Note 0,5,Titus 3,,Tit 3
B01083,43,Note 0,6,Galatians 3,,Gal 3
B01083,43,Note 0,7,Ephesians 2,,Eph 2
B01083,45,Note 0,0,1 Corinthians ^,,1 Cor ^
B01083,45,Note 0,1,Ephesians 1,,Eph 1
B01083,48,Note 0,0,Titus 2,,Tit 2
B01083,54,Note 0,0,2 Peter 5,,2 Pet 5
B01083,54,Note 1,0,1 John 3,,1 Ioan 3
B01083,56,Note 0,0,John 8,,Ioan 8
B01083,58,Note 0,0,John 13,,Ioan 13
B01083,58,Note 1,0,Galatians 5,,Gala 5
B01083,70,Note 0,0,Exodus 32,,Exo 32
B01083,73,Note 0,0,Kings 4.30,,4 Reg 4 30
B01083,74,Note 0,0,Kings 4.20,,4 Reg 4 20
B01083,87,Note 0,0,John 6,,Ioh 6
B01083,88,Note 0,0,Matthew 22,,Math 22
B01083,93,Note 0,0,Ezekiel 18,,Eze 18
B01083,94,Note 0,0,Ecclesiastes 5,,Eccl 5
B01083,94,Note 0,1,Ecclesiastes 19,,Eccl 19
B01083,94,Note 0,2,Genesis 6; Genesis 19,,Ge 6 & 19
B01083,94,Note 0,3,Numbers 14,,Nume 14
B01083,98,Note 0,0,2 Corinthians 23,,2 Cor 23
B01083,98,Note 3,0,Psalms 1,,Psal 1
B01083,100,Note 0,0,Psalms 67,,Psalm 67
B01083,103,Note 0,0,Mark 16,,Mar 16
B01083,103,Note 1,0,Romans 1,,Rom 1
B01083,103,Note 2,0,Hebrews 3,,Heb 3
B01083,103,Note 2,1,Hebrews 6,,Heb 6
B01083,103,Note 3,0,Genesis 2.4,,Gen 2 4
B01083,103,Note 3,1,Judith 1^,,Iudic 1^
B01083,103,Note 3,2,Kings 31.4,,Reg 31 4
B01083,103,Note 3,3,Kings 19,,4 Reg 19
B01083,103,Note 3,4,Genesis 19,,Gen 19
B01083,103,Note 3,5,Numbers 16,,Num 16
B01083,104,Note 0,0,Acts 1,,Act 1
B01083,110,Note 0,0,Revelation 22,,Apoc 22
B01083,110,Note 1,0,Matthew 25,,Math 25
B01083,115,Note 0,0,Romans 8,,Rom 8
B01083,116,Note 0,0,Mark 16,,Marc 16
B01083,117,Note 0,0,Ephesians 1,,Eph 1
B01083,129,Note 0,0,Romans 1,,Rom 1
B01083,133,Note 0,0,1 John 1,,1 Ioan 1
B01083,133,Note 1,0,John 8,,Ioan 8
B01083,134,Note 0,0,Psalms 5,,Psal 5
B01083,147,Note 0,0,Galatians 4,,Gala 4
B01083,147,Note 1,0,Galatians ^,,Gal ^
B01083,150,Note 0,0,Isaiah 53,,Esa 53
B01083,159,Note 0,0,Galatians ^,,Gala ^
B01083,161,Note 0,0,Mark 10,,Mar 10
B01083,161,Note 0,1,Exodus 20,,Exo 20
B01083,161,Note 1,0,Hebrews 13,,Heb 13
B01083,161,Note 2,0,Hebrews 13,,Heb 13
B01083,163,Note 0,0,Thessalonians 4,,Tess 4
B01083,165,Note 0,0,Revelation ^,,Apoc ^
B01083,173,Note 0,0,Romans 6,,Rom 6
B01083,177,Note 0,0,Psalms ^^,,Psal ^^
B01083,180,Note 0,0,Joel 2,,Ioel 2
B01083,192,Note 0,0,Thessalonians 1,,Tess 1
B01083,203,Note 0,0,Romans 13,,Rom 13
B01083,208,Note 0,0,Matthew 9,,Math 9
B01083,208,Note 0,1,Luke 14,,Luc 14
B01083,219,Note 0,0,1 Timothy 5,,1 Tim 5
B01083,243,Note 0,0,Romans ^,,Rom ^
B01083,244,Note 0,0,1 Corinthians 1,,1 Cor 1
B01083,268,Note 0,0,Psalms 13,,Psal 13
B01083,268,Note 0,1,Psalms ^1,,Psal ^1
B01083,268,Note 0,2,Psalms 29.*; Psalms 29.3,,Psa 29 * 3
B01083,273,Note 0,0,Isaiah 1^,,Esay 1^
B01083,273,Note 0,1,Matthew 1^,,Math 1^
B01083,273,Note 0,2,Mark 7,,Mar 7
B01083,291,Note 0,0,Job ^0,,Io^ ^0
B01083,295,Note 0,0,Leviticus 2,,Leuit 2
B01083,322,Note 0,0,1 Peter ^,,1 Pet ^
B01083,322,Note 0,1,Colossians ^,,Colo ^
B01083,323,Note 0,0,Ephesians 5.6,,Ephe 5 6
B01083,323,Note 0,1,2 Peter 3,,2 Pet 3
B01083,324,Note 0,0,Ephesians 6,,Ephe 6
B01083,325,Note 0,0,Ephesians 6,,Ephe 6
B01083,327,Note 0,0,Ephesians 6,,Eph 6
B01083,327,Note 0,1,Colossians 3,,Colo 3
B01083,329,Note 0,0,Ephesians 6,,Eph 6
B01083,329,Note 0,1,Colossians ^,,Colo ^
B01083,351,Note 0,0,Ephesians 4,,Ephe 4
A00356,412,In-Text,0,Psalms 72,,psal 72
A00393,5,In-Text,0,Matthew 11,,Matthew 11
A00393,91,In-Text,0,Matthew ***.*,,mat *** *
A00609,131,In-Text,0,Ephesians 5; Ephesians 6,,Ephesians 5 & 6
A00789,253,In-Text,0,Matthew 5,,Math 5
A00918,18,In-Text,0,Jeremiah 1,,Ierom 1
A00918,131,In-Text,0,Kings 10,,kynges 10
A00918,132,In-Text,0,Jeremiah 6,,Ieremy 6
A00918,396,In-Text,0,Job 21,,Iob 21
A02379,8,In-Text,0,Joel 51,,il 51
A02379,38,In-Text,0,Job 18,,Io 18
A02379,39,In-Text,0,Matthew 20,,Mat 20
A02379,43,In-Text,0,Luke 12,,Luce 12
A02379,81,In-Text,0,Deuteronomy 17,,Deutero 17
A02379,82,In-Text,0,Romans 13,,Romanos 13
A02379,158,In-Text,0,Revelation 4.12,,re 4 12
A02379,158,In-Text,1,2 Chronicles 24,,2 Paralip 24
A02379,159,In-Text,0,Revelation 4.18,,re 4 18
A02379,161,In-Text,0,2 Chronicles 32,,2 Paralip 32
A02379,193,In-Text,0,Romans 13,,Romanos 13
A02379,227,In-Text,0,1 Chronicles 39,,1 Paralip 39
A02882,0,In-Text,0,Ephesians 6,,Ephesians 6
A02882,34,In-Text,0,Matthew 12,,Mathew 12
A02882,89,In-Text,0,Ecclesiastes 3,,Ecclesiast 3
A02882,95,In-Text,0,Ephesians 5,,Ephesians 5
A02882,106,In-Text,0,Matthew 5,,Matthew 5
A02882,123,In-Text,0,Philippians 2,,Philyppians 2
A02882,126,In-Text,0,Genesis 4,,Geneses 4
A02882,131,In-Text,0,Matthew 19,,Matthew 19
A02882,135,In-Text,0,Matthew 5,,Matthew 5
A02882,143,In-Text,0,Corinthians 6,,Corinthians 6
A02882,144,In-Text,0,Thessalonians 4,,Thessalonians 4
A02882,146,In-Text,0,Ephesians 5,,Ephesians 5
A02882,151,In-Text,0,Corinthians 6,,Corinthyans 6
A02882,154,In-Text,0,Corinthians 6,,Corinthyans 6
A02882,156,In-Text,0,Hebrews 13,,Hebrues 13
A02882,158,In-Text,0,Corinthians 10,,Corin 10
A02882,160,In-Text,0,Genesis 20; Genesis 6,,Gene 20 & 6
A02882,162,In-Text,0,Kings 11,,kynges 11
A02882,173,In-Text,0,Joshua 7,,Iosue 7
A02882,174,In-Text,0,Ephesians 4,,Ephesians 4
A02882,180,In-Text,0,Daniel 13,,Danyell 13
A02882,181,In-Text,0,Ephesians 4,,Ephesyans 4
A02882,185,In-Text,0,Matthew 18,,Mathew 18
A02882,194,In-Text,0,Exodus 20,,Exo 20
A02882,201,In-Text,0,Ephesians 5,,Ephesians 5
A02882,201,In-Text,1,Colossians 3,,Collos 3
A02882,203,In-Text,0,Kings 16,,kynges 16
A02882,210,In-Text,0,John 7,,Ihon 7
A02882,214,In-Text,0,John 4,,Ihon 4
A02882,221,In-Text,0,Hebrews 11,,Hebrues 11
A02882,222,In-Text,0,John 4,,Ihon 4
A02882,232,In-Text,0,John 5,,Ihon 5
A02882,238,In-Text,0,Matthew 10,,Mat 10
A02882,241,In-Text,0,Corinthians 5,,Corinthians 5
A02882,249,In-Text,0,Matthew 6,,Mathew 6
A02882,255,In-Text,0,Matthew 8,,Mathew 8
A02882,259,In-Text,0,Matthew 1,,Matth 1
A02882,263,In-Text,0,Corinthians 10,,corinthians 10
A02883,34,In-Text,0,Ephesians 5,,Ephesyans 5
A02883,35,In-Text,0,Matthew 10,,Mathew 10
A02883,50,In-Text,0,Hebrews 9,,Hebrues 9
A02883,52,In-Text,0,Hebrews 10,,Hebrues 10
A02883,61,In-Text,0,Hebrews 9,,Hebrues 9
A02883,62,In-Text,0,1 Corinthians 13,,1 Corint 13
A02883,69,In-Text,0,Psalms 15,,Psalm 15
A02883,76,In-Text,0,Mark 16,,Mark 16
A02883,77,In-Text,0,Ephesians 5,,Ephe 5
A02883,94,In-Text,0,Matthew 26,,Matth 26
A02883,98,In-Text,0,Luke 21,,Luke 21
A02883,108,In-Text,0,Isaiah 66,,Esai 66
A02883,111,In-Text,0,Corinthians 5,,Cor 5
