B01041,440,0,0,Luke 3,,Luc 3
B01041,441,0,0,1 Corinthians 3,,1 Cor 3
B01041,441,1,0,Psalms 118,,Psal 118
B01041,442,0,0,Hebrews 13,,Hebre 13
B01041,447,0,0,Psalms 18,,Psal 18
B01041,451,0,0,Psalms 26,,Psal 26
B01041,454,0,0,Psalms 24,,Psal 24
B01041,455,0,0,Proverbs 6,,Prouer 6
B01041,457,0,0,Titus 2,,Tite 2
B01041,457,1,0,1 John 2,,1 Iohn 2
B01083,6,0,0,Matthew 9,,Math 9
B01083,6,0,1,Mark 2,,Marc 2
B01083,6,0,2,Luke 9,,Luc 9
B01083,8,0,0,Psalms 45,,Psal 45
B01083,9,0,0,1 Corinthians ^,,1 Cor ^
B01083,11,0,0,Matthew 24,,Math 24
B01083,11,0,1,Matthew ^^,,Mat ^^
B01083,12,0,0,Luke 10,,Luc 10
B01083,12,0,1,John 14,,Ioan 14
B01083,12,0,2,Mark 6,,Marc 6
B01083,12,0,3,Matthew 10,,Math 10
B01083,13,0,0,Isaiah 1,,Esa 1
B01083,15,0,0,Romans 10,,Rom 10
B01083,15,1,0,Ecclesiastes 32,,Eccl 32
B01083,15,2,0,Mark 4,,Mar 4
B01083,17,0,0,Matthew 13,,Math 13
B01083,17,0,1,Isaiah 6,,Esa 6
B01083,17,0,2,Mark 4,,Marc 4
B01083,17,0,3,Acts 18,,Act 18
B01083,18,0,0,Proverbs 18,,Pro 18
B01083,18,1,0,Proverbs 23,,Pro 23
B01083,20,0,0,Genesis 11; Genesis 17,,Gen 11 & 17
B01083,20,0,1,Psalms 7,,Psal 7
B01083,20,0,2,Revelation 2,,Apo 2
B01083,20,1,0,Psalms 93,,Psal 93
B01083,23,0,0,Isaiah 55,,Esa 55
B01083,25,0,0,Corinthians 6,,Cor 6
B01083,29,0,0,Romans 11,,Rom 11
B01083,29,0,1,1 Corinthians 8,,1 Cor 8
B01083,29,0,2,Ephesians 1,,Eph 1
B01083,29,0,3,2 Corinthians 3,,2 Cor 3
B01083,29,0,4,Revelation 17,,Apoc 17
B01083,36,0,0,1 Corinthians 3,,1 Cor 3
B01083,43,0,0,Romans 4,,Rom 4
B01083,43,0,1,Romans 5,,Rom 5
B01083,43,0,2,1 John 1,,1 Ioan 1
B01083,43,0,3,1 Peter 1,,1 Pet 1
B01083,43,0,4,2 Timothy 2,,2 Tim 2
B01083,43,0,5,Titus 3,,Tit 3
B01083,43,0,6,Galatians 3,,Gal 3
B01083,43,0,7,Ephesians 2,,Eph 2
B01083,45,0,0,1 Corinthians ^,,1 Cor ^
B01083,45,0,1,Ephesians 1,,Eph 1
B01083,48,0,0,Titus 2,,Tit 2
B01083,54,0,0,2 Peter 5,,2 Pet 5
B01083,54,1,0,1 John 3,,1 Ioan 3
